date,series_code,series_name,value,source
2021-04-22,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-04-23,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-04-26,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-04-27,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-04-28,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-04-29,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-04-30,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-05-03,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-05-04,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-05-05,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-05-06,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-05-07,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-05-10,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-05-11,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-05-12,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-05-13,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-05-14,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-05-17,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-05-18,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-05-19,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-05-20,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-05-21,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-05-24,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-05-25,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-05-26,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-05-27,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-05-28,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-05-31,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-06-01,V39079,Target overnight rate,0.25,Bank of Canada Valet API
